                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.53076,                  1.162,                 1.4787,                0.78521,                0.63206,                0.74483,                 0.5977,                0.33574,                 1.0415,                 1.2086,               0.006304,               0.006304,               0.006304
                    115,                0.51854,                 1.1716,                 1.4753,                0.70724,                0.71087,                0.73692,                0.59292,                 0.3622,                 1.0832,                 1.2463,               0.006271,               0.006271,               0.006271
                    116,                0.51478,                 1.1799,                 1.4755,                0.71104,                0.67222,                0.69113,                0.55175,                0.33861,                 1.1211,                 1.2234,               0.006238,               0.006238,               0.006238
                    117,                0.54381,                 1.1868,                 1.4841,                 0.7654,                0.64195,                0.72802,                0.58621,                0.35485,                 1.0702,                 1.2376,               0.006205,               0.006205,               0.006205
                    118,                0.54719,                 1.1808,                 1.4787,                0.80215,                0.57608,                0.71002,                0.57256,                0.34958,                 1.1511,                 1.2307,               0.006172,               0.006172,               0.006172
                    119,                0.52634,                 1.1452,                 1.4748,                0.80782,                0.64985,                0.72048,                0.58169,                0.34274,                  1.099,                 1.2426,               0.006139,               0.006139,               0.006139
                    120,                0.52124,                 1.1395,                 1.4651,                0.70672,                0.69366,                0.72613,                 0.5905,                0.32611,                 1.0573,                 1.2163,               0.006106,               0.006106,               0.006106
                    121,                0.52716,                 1.1584,                  1.468,                0.77998,                0.66795,                0.69934,                0.56976,                0.33161,                  1.157,                 1.2174,               0.006073,               0.006073,               0.006073
                    122,                0.52926,                 1.1435,                 1.4587,                0.66647,                 0.6813,                0.67267,                0.53965,                 0.3534,                 1.1841,                 1.2522,                0.00604,                0.00604,                0.00604
                    123,                0.52167,                 1.1367,                  1.458,                0.71461,                0.65621,                0.69722,                  0.564,                0.34522,                  1.137,                 1.2229,               0.006007,               0.006007,               0.006007
                    124,                0.52642,                 1.1611,                  1.468,                0.71186,                0.64821,                0.64189,                0.51364,                0.35089,                 1.2268,                 1.2351,               0.005974,               0.005974,               0.005974
                    125,                0.53929,                 1.1451,                 1.4834,                0.71947,                0.62905,                0.68529,                0.55166,                0.36293,                 1.2061,                 1.2428,               0.005941,               0.005941,               0.005941
                    126,                0.54133,                  1.125,                 1.4626,                 0.7913,                0.62717,                0.68523,                0.54258,                0.37144,                 1.1679,                  1.243,               0.005908,               0.005908,               0.005908
                    127,                0.50946,                 1.1111,                  1.438,                0.70911,                0.66338,                  0.706,                0.57133,                0.34971,                 1.1436,                 1.2203,               0.005875,               0.005875,               0.005875
                    128,                0.53875,                 1.1381,                  1.459,                0.71747,                 0.6585,                0.69114,                0.55813,                 0.3578,                 1.1278,                 1.2214,               0.005842,               0.005842,               0.005842
                    129,                0.52182,                 1.1356,                 1.4534,                0.70274,                0.66888,                0.70665,                0.57384,                 0.3491,                 1.1282,                 1.2213,               0.005809,               0.005809,               0.005809
                    130,                0.51331,                 1.1062,                 1.4386,                0.67342,                0.69752,                0.69985,                0.56223,                 0.3722,                 1.1053,                 1.2427,               0.005776,               0.005776,               0.005776
                    131,                0.52875,                 1.1261,                 1.4464,                 0.7766,                0.68277,                0.74518,                0.60047,                0.36239,                  1.035,                 1.2224,               0.005743,               0.005743,               0.005743
                    132,                0.52384,                 1.0843,                 1.4369,                0.69736,                0.66751,                0.70983,                0.57907,                0.35652,                 1.0897,                 1.2141,                0.00571,                0.00571,                0.00571
                    133,                0.51334,                 1.0799,                 1.4344,                0.75818,                0.68244,                0.72042,                0.58746,                0.35291,                 1.1295,                 1.2107,               0.005677,               0.005677,               0.005677
                    134,                0.52094,                 1.1037,                 1.4447,                0.74792,                0.64028,                0.73351,                0.59633,                  0.341,                 1.0584,                  1.214,               0.005644,               0.005644,               0.005644
                    135,                0.50397,                   1.08,                   1.43,                0.79083,                0.65069,                0.74175,                0.60437,                0.34714,                 1.0376,                 1.2154,               0.005611,               0.005611,               0.005611
                    136,                0.54165,                 1.1225,                 1.4567,                0.70193,                0.68871,                0.72038,                0.57747,                 0.3705,                 1.1066,                 1.2309,               0.005578,               0.005578,               0.005578
                    137,                0.50311,                 1.0963,                  1.432,                0.79503,                 0.6013,                0.69743,                0.57036,                0.35315,                 1.1282,                 1.2114,               0.005545,               0.005545,               0.005545
                    138,                0.54592,                 1.1172,                 1.4513,                0.74769,                0.64828,                0.71599,                0.57542,                0.36006,                 1.1169,                 1.2145,               0.005512,               0.005512,               0.005512
                    139,                0.53983,                 1.1194,                 1.4568,                0.76255,                0.65162,                0.71361,                  0.575,                 0.3544,                 1.0945,                 1.2119,               0.005479,               0.005479,               0.005479
                    140,                0.52915,                 1.1182,                 1.4402,                0.75818,                0.66797,                0.71196,                0.58515,                0.35411,                 1.0576,                 1.2093,               0.005446,               0.005446,               0.005446
                    141,                 0.5262,                 1.1149,                 1.4441,                0.78413,                0.67385,                0.72938,                 0.5941,                0.36153,                 1.0332,                 1.2333,               0.005413,               0.005413,               0.005413
                    142,                0.52692,                 1.0399,                  1.427,                0.72336,                0.66063,                0.68526,                 0.5474,                0.36797,                 1.1215,                 1.2384,                0.00538,                0.00538,                0.00538
                    143,                0.53248,                 1.0823,                   1.44,                0.71302,                0.65523,                0.71753,                0.58044,                0.36953,                 1.1311,                 1.2339,               0.005347,               0.005347,               0.005347
                    144,                0.52356,                 1.0567,                 1.4277,                0.79496,                0.63759,                0.74254,                0.61036,                0.36075,                 1.0108,                 1.2095,               0.005314,               0.005314,               0.005314
                    145,                0.51683,                 1.0599,                 1.4125,                 0.7364,                0.65675,                0.69565,                0.56606,                0.36641,                 1.1409,                 1.2188,               0.005281,               0.005281,               0.005281
                    146,                0.52736,                 1.0411,                 1.4218,                0.73248,                0.69571,                0.74735,                0.60846,                0.36305,                 1.0574,                 1.2179,               0.005248,               0.005248,               0.005248
                    147,                0.52787,                 1.0617,                 1.4164,                0.73382,                0.67162,                 0.7029,                 0.5742,                0.36991,                 1.1094,                 1.2165,               0.005215,               0.005215,               0.005215
                    148,                0.52814,                 1.0339,                 1.4342,                0.80168,                0.66995,                0.73117,                 0.5901,                0.37511,                 1.0982,                  1.217,               0.005182,               0.005182,               0.005182
                    149,                0.54093,                 1.0742,                 1.4315,                0.75876,                0.68898,                0.73483,                0.59182,                0.36134,                 1.0437,                 1.1969,               0.005149,               0.005149,               0.005149
                    150,                0.52843,                 1.0655,                 1.4306,                0.74073,                0.66683,                0.72911,                0.58542,                0.38097,                 1.0533,                 1.2237,               0.005116,               0.005116,               0.005116
                    151,                0.52916,                  1.033,                  1.417,                0.80851,                 0.6458,                0.72868,                0.59014,                0.37562,                  1.053,                 1.2224,               0.005083,               0.005083,               0.005083
                    152,                0.52817,                  1.039,                  1.419,                 0.7935,                0.66999,                 0.7383,                0.60083,                0.37946,                 1.0788,                 1.2118,                0.00505,                0.00505,                0.00505
                    153,                0.55436,                 1.0531,                 1.4368,                0.71886,                0.69118,                0.71272,                 0.5856,                0.36634,                 1.0652,                 1.2074,               0.005017,               0.005017,               0.005017
                    154,                0.50405,                 1.0118,                 1.3984,                0.73807,                0.65001,                0.71906,                0.58609,                0.37301,                 1.0812,                 1.2078,               0.004984,               0.004984,               0.004984
