                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.57248,                 1.3676,                 1.5454,                0.75935,                0.63934,                0.71067,                0.56302,                0.35614,                 1.1639,                 1.2828,               0.007294,               0.007294,               0.007294
                     85,                0.54386,                 1.3677,                 1.5278,                0.68609,                0.62403,                0.67698,                0.52564,                0.37007,                 1.2097,                 1.2994,               0.007261,               0.007261,               0.007261
                     86,                0.54158,                 1.3282,                 1.5119,                0.70968,                0.66653,                0.70336,                0.55563,                 0.3709,                 1.1541,                 1.3045,               0.007228,               0.007228,               0.007228
                     87,                0.55639,                 1.3563,                 1.5264,                0.68692,                0.66564,                0.71775,                0.57251,                  0.349,                 1.1176,                 1.2759,               0.007195,               0.007195,               0.007195
                     88,                0.55668,                 1.3525,                 1.5228,                0.75813,                 0.6218,                0.70961,                0.56298,                0.34228,                 1.1218,                 1.2674,               0.007162,               0.007162,               0.007162
                     89,                0.54113,                 1.3076,                 1.4928,                  0.767,                0.66558,                0.74394,                0.59409,                0.34007,                 1.0487,                  1.268,               0.007129,               0.007129,               0.007129
                     90,                0.54113,                 1.3087,                 1.5091,                0.69097,                0.64031,                0.67479,                0.53113,                0.36804,                 1.2076,                 1.2902,               0.007096,               0.007096,               0.007096
                     91,                0.54113,                 1.3004,                 1.5093,                0.76931,                0.58416,                0.68599,                 0.5469,                0.34701,                 1.1924,                 1.2651,               0.007063,               0.007063,               0.007063
                     92,                0.56262,                 1.3248,                  1.509,                0.69472,                0.64223,                0.67409,                0.53072,                0.35131,                 1.1696,                 1.2698,                0.00703,                0.00703,                0.00703
                     93,                0.55908,                 1.3216,                 1.5069,                0.62431,                0.67822,                0.69715,                0.56195,                0.35601,                  1.189,                 1.2672,               0.006997,               0.006997,               0.006997
                     94,                0.53796,                 1.2591,                 1.4971,                0.74212,                  0.606,                0.69408,                0.54798,                0.37329,                 1.1091,                 1.2818,               0.006964,               0.006964,               0.006964
                     95,                0.55716,                 1.2961,                 1.5093,                0.76867,                0.61977,                0.71761,                0.56766,                0.37198,                 1.1429,                  1.278,               0.006931,               0.006931,               0.006931
                     96,                0.55587,                 1.2872,                 1.4931,                0.70034,                0.65418,                0.67847,                0.53143,                0.36901,                 1.1837,                 1.2707,               0.006898,               0.006898,               0.006898
                     97,                 0.5345,                 1.2528,                 1.4762,                 0.7204,                0.66974,                0.70675,                0.56347,                0.36288,                 1.1105,                 1.2845,               0.006865,               0.006865,               0.006865
